"pid","sawa2","line","offwrist","activity","marker","whitelight","redlight","greenlight","bluelight","wake","interval","starth","day","dayofweek","validday","time"
258857,1,51,0,1,0,"0.62","0.0298","0.0622","0.0093",0,"ACTIVE",0,1,5,1,13:59:00
258857,1,52,0,1,0,"0.12","0.0298","0.0024","0.0285",0,"ACTIVE",0,1,5,1,13:59:30
258857,1,53,0,23,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,14:00:00
258857,1,54,0,0,0,"0.35",17,"0.0347","0.0117",0,"ACTIVE",0,1,5,1,14:00:30
258857,1,55,0,0,0,"0.35",17,"0.0347","0.0117",0,"ACTIVE",0,1,5,1,14:01:00
258857,1,56,0,0,0,"0.35",17,"0.0347","0.0117",0,"ACTIVE",0,1,5,1,14:01:30
258857,1,57,0,32,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,14:02:00
258857,1,58,0,10,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,14:02:30
258857,1,59,0,25,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,14:03:00
258857,1,60,0,44,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,14:03:30
258857,1,61,0,0,0,"0.35",17,"0.0347","0.0117",0,"ACTIVE",0,1,5,1,14:04:00
258857,1,62,0,0,0,"0.35",17,"0.0347","0.0117",0,"ACTIVE",0,1,5,1,14:04:30
258857,1,63,0,0,0,"0.35",17,"0.0347","0.0117",0,"ACTIVE",0,1,5,1,14:05:00
258857,1,64,0,0,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,14:05:30
258857,1,65,0,1,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,14:06:00
258857,1,66,0,311,0,"2.59","0.0807",266,"0.0756",1,"ACTIVE",0,1,5,1,14:06:30
258857,1,67,0,55,0,"237.29","18.5","21.6","6.7",1,"ACTIVE",0,1,5,1,14:07:00
258857,1,68,0,0,0,"424.57","21.1","41.3","14.6",1,"ACTIVE",0,1,5,1,14:07:30
258857,1,69,0,0,0,"390.91","19.8","37.9",14,0,"ACTIVE",0,1,5,1,14:08:00
258857,1,70,0,14,0,"182.14","8.88","17.8","6.42",1,"ACTIVE",0,1,5,1,14:08:30
258857,1,71,0,6,0,"6.02","0.13",632,"0.18",0,"ACTIVE",0,1,5,1,14:09:00
258857,1,72,0,25,0,"1.92",112,188,"0.0256",1,"ACTIVE",0,1,5,1,14:09:30
258857,1,73,0,0,0,"0.12","0.0298","0.0024","0.0285",0,"ACTIVE",0,1,5,1,14:10:00
258857,1,74,0,0,0,"0.66",47,"0.0622","0.0093",0,"ACTIVE",0,1,5,1,14:10:30
258857,1,75,0,0,0,"1.1",47,112,14,1,"ACTIVE",0,1,5,1,14:11:00
258857,1,76,0,32,0,"0.62","0.0298","0.0622","0.0093",1,"ACTIVE",0,1,5,1,14:11:30
258857,1,77,0,344,0,"0.09",17,"0.0024","0.0285",1,"ACTIVE",0,1,5,1,14:12:00
258857,1,78,0,126,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,14:12:30
