pid,sawa2,line,offwrist,activity,marker,whitelight,redlight,greenlight,bluelight,wake,interval,starth,day,dayofweek,validday,time
00306064,1,1,0,24,0,480.85,23,47.1,16.3,,ACTIVE,0,1,1,1,14:16:00
00306064,1,2,0,0,0,474.66,24,46.1,16.6,,ACTIVE,0,1,1,1,14:16:30
00306064,1,3,0,0,0,485.05,24.6,47.1,17,,ACTIVE,0,1,1,1,14:17:00
00306064,1,4,0,4,0,501.56,23,49.1,18.5,,ACTIVE,0,1,1,1,14:17:30
00306064,1,5,0,210,0,591.2,39.6,54.8,22.1,1,ACTIVE,0,1,1,1,14:18:00
00306064,1,6,0,448,0,343.32,34.8,29.2,9.68,1,ACTIVE,0,1,1,1,14:18:30
00306064,1,7,0,79,0,592.8,38.7,56,15.6,1,ACTIVE,0,1,1,1,14:19:00
00306064,1,8,0,69,0,751.25,46.1,71,25.1,1,ACTIVE,0,1,1,1,14:19:30
00306064,1,9,0,257,1,783.5,47.1,74.2,27.4,1,ACTIVE,0,1,1,1,14:20:00
00306064,1,10,0,109,0,707.21,44.1,66.6,24.6,1,ACTIVE,0,1,1,1,14:20:30
00306064,1,11,0,69,0,125.12,13.1,10.8,1.5,1,ACTIVE,0,1,1,1,14:21:00
00306064,1,12,0,477,0,687.72,36.3,66.6,22.5,1,ACTIVE,0,1,1,1,14:21:30
00306064,1,13,0,369,0,118.28,12,10.3,1.11,1,ACTIVE,0,1,1,1,14:22:00
00306064,1,14,0,420,0,258.95,25.1,23,1.6,1,ACTIVE,0,1,1,1,14:22:30
00306064,1,15,0,448,0,424.33,40.4,37.9,2.76,1,ACTIVE,0,1,1,1,14:23:00
00306064,1,16,0,394,0,230.76,15.6,21.6,6.7,1,ACTIVE,0,1,1,1,14:23:30
00306064,1,17,0,90,0,100.76,7.63,9.27,2.47,1,ACTIVE,0,1,1,1,14:24:00
00306064,1,18,0,109,0,116.64,8.5,10.8,3.07,1,ACTIVE,0,1,1,1,14:24:30
00306064,1,19,0,233,0,119.04,9.68,10.8,2.88,1,ACTIVE,0,1,1,1,14:25:00
00306064,1,20,0,257,0,64.11,6.28,5.63,0.82,1,ACTIVE,0,1,1,1,14:25:30
00306064,1,21,0,275,0,45.64,6.28,3.57,0.419,1,ACTIVE,0,1,1,1,14:26:00
00306064,1,22,0,561,0,173.71,19.8,14.6,1.83,1,ACTIVE,0,1,1,1,14:26:30
00306064,1,23,0,67,0,14.84,1.95,1.18,0.145,1,ACTIVE,0,1,1,1,14:27:00
00306064,1,24,0,165,0,17.94,2.82,1.32,0.145,1,ACTIVE,0,1,1,1,14:27:30
00306064,1,25,0,129,0,24.13,5.17,1.44,0.096,1,ACTIVE,0,1,1,1,14:28:00
00306064,1,26,0,150,0,24.89,4.84,1.6,0.133,1,ACTIVE,0,1,1,1,14:28:30
00306064,1,27,0,248,0,49.65,5.39,4.25,0.457,1,ACTIVE,0,1,1,1,14:29:00
00306064,1,28,0,233,0,845.4,63.7,79.2,10.3,1,ACTIVE,0,1,1,1,14:29:30
00306064,1,29,0,155,0,1659.49,84.5,162,51.3,1,ACTIVE,0,1,1,1,14:30:00
00306064,1,30,0,284,0,127.93,10.3,11.5,3.9,1,ACTIVE,0,1,1,1,14:30:30
00306064,1,31,0,448,0,35.11,3.5,3.07,0.437,1,ACTIVE,0,1,1,1,14:31:00
00306064,1,32,0,493,0,35.19,3.81,3.01,0.392,1,ACTIVE,0,1,1,1,14:31:30
00306064,1,33,0,407,0,31.01,2.94,2.76,0.337,1,ACTIVE,0,1,1,1,14:32:00
00306064,1,34,0,526,0,234.63,24.6,20.2,2.94,1,ACTIVE,0,1,1,1,14:32:30
00306064,1,35,0,420,0,142.19,13.7,12.6,1.79,1,ACTIVE,0,1,1,1,14:33:00
00306064,1,36,0,448,0,54.02,5.76,4.64,0.632,1,ACTIVE,0,1,1,1,14:33:30
00306064,1,37,0,509,0,104.83,4.34,10.3,4.34,1,ACTIVE,0,1,1,1,14:34:00
00306064,1,38,0,420,0,56.26,5.76,1.64,26.8,1,ACTIVE,0,1,1,1,14:34:30
00306064,1,39,0,543,0,2210.9,278,176,47.1,1,ACTIVE,0,1,1,1,14:35:00
00306064,1,40,0,849,0,74.06,6.56,6.7,0.82,1,ACTIVE,0,1,1,1,14:35:30
00306064,1,41,0,477,0,339.11,22.5,32.6,3.73,1,ACTIVE,0,1,1,1,14:36:00
00306064,1,42,0,1361,0,441.78,40.4,39.6,5.28,1,ACTIVE,0,1,1,1,14:36:30
00306064,1,43,0,993,0,1851.17,117,173,74.2,1,ACTIVE,0,1,1,1,14:37:00
00306064,1,44,0,293,0,15214.9,876,1440,593,1,ACTIVE,0,1,1,1,14:37:30
00306064,1,45,0,172,0,4076.25,229,385,184,1,ACTIVE,0,1,1,1,14:38:00
00306064,1,46,0,257,0,6635.17,385,633,219,1,ACTIVE,0,1,1,1,14:38:30
00306064,1,47,0,210,0,3688.37,210,345,184,1,ACTIVE,0,1,1,1,14:39:00
00306064,1,48,0,303,0,19694.69,499,2000,1020,1,ACTIVE,0,1,1,1,14:39:30
00306064,1,49,0,191,0,11231.09,676,1060,377,1,ACTIVE,0,1,1,1,14:40:00
00306064,1,50,0,172,0,19934.07,1110,1910,676,1,ACTIVE,0,1,1,1,14:40:30
00306064,1,51,0,145,0,12909.15,737,1270,173,1,ACTIVE,0,1,1,1,14:41:00
